word,frequency
newMockSafeHashSet,6
currentThread,6
ForHashCode,6
annotationClass,6
Identifier,6
emptyOptionalInt,6
deCameled,6
PluginInitializer,6
desc,6
extractRawTypeOf,6
getSerializableMode,6
wantedClass,6
emptyOptional,6
warningsCollector,6
doubleValue,6
answerVoid,6
resource,6
argument3,6
MockitoMockKey,6
assertNotStubOnlyMock,5
validateMockitoUsage,5
a,5
u,5
TypeCache,5
asWrappedMocks,5
assureArguments,5
clearMock,5
getLoaded,5
ConstructionCallback,5
Random,5
rhsClass,5
willAnswer,5
currentConstruction,5
vmName2,5
vmName1,5
approximateSize,5
getInlineMockMaker,5
getClassFileVersion,5
STRICT_STUBS,5
closeOnDemand,5
loaderBuilder,5
ObjectInputStream,5
MockitoAnnotations,5
getCount,5
getField,5
ScenarioPrinter,5
shouldSkip,5
testMethodName,5
isJava8BelowUpdate45,5
allActualInvocations,5
parameterTypeName,5
methodGraph,5
inOrderContext,5
jvmInlineAnnotation,5
ACROSS_CLASSLOADERS,5
appendMostSpecific,5
argPos,5
mockCreationSettings,5
objectInputStream,5
argMismatchStubbings,5
assureOpen,5
targetBaseInterface,5
compare,5
Matches,5
subclassingRequired,5
INVOKESTATIC,5
stubbingStarted,5
runnerClassName,5
wasInitializedUsingConstructorArgs,5
openMocks,5
load,5
alreadyAssigned,5
MatcherApplicationType,5
registerTypeParametersOn,5
convert,5
StubbingLookupEvent,5
getComponentType,5
getJavaMethod,5
Returns,5
Spy,5
sort,5
isSpy,5
thenTry,5
ThrowsException,5
targetLookup,5
enableClassCache,5
MockitoPlugins,5
pullOngoingStubbing,5
VerificationDataInOrderImpl,5
isPrivate,5
arraycopy,5
TypeVarBoundedType,5
StrictRunner,5
validator,5
getArgumentsAsMatchers,5
verificationStarted,5
foundSize,5
SmartPrinter,5
usedAt,5
MockitoSession,5
subclass,5
SubclassInjectionLoader,5
assertVisibility,5
ElementType,5
wasInitialized,5
getStubbingLookupListeners,5
outputStream,5
isSynthetic,5
TreeSet,5
emptySet,5
setMockitoInterceptor,5
behavior,5
ConstructorArgumentResolver,5
getTypeParameters,5
MockingProgressImpl,5
getReturnedValue,5
multiline,5
LAST_ARGUMENT,5
NotNull,5
NullPointerException,5
DoesNothing,5
VerboseMockInvocationLogger,5
Null,5
hasSameMethod,5
onField,5
UnusedStubbings,5
any,5
WarningsFinder,5
nextEntry,5
emptyValueForClass,5
RedundantListenerException,5
printMethodReturnType,5
UnusedStubbingReporting,5
OnConstruction,5
getStrictness,5
what,5
deserializeAsWeakRef,5
isInterface,5
IOUtil,5
findFirstUnverified,5
mockedConstruction,5
throwableTypes,5
filterStackTrace,5
createMockHandler,5
DefaultMockingDetails,5
getRawType,5
numberOfFailures,5
lastMatcher,5
parent,5
proxyClass,5
finder,5
warnForVM,5
removeLast,5
theFactory,5
config,5
Comparator,5
isStubOnly,5
getInterfaces,5
setStackTrace,5
RegisteredInvocations,5
HamcrestArgumentMatcher,5
obj,5
WrongTypeOfReturnValue,5
printlnIndented,5
CLEANER,5
willCallRealMethod,5
report,5
annotations,5
ForEquals,5
argResolver,5
registerTypeVariablesOn,5
cleansStackTrace,5
matcherClass,5
modules,5
varArgs,5
singleton,5
previous,5
MatcherApplicationStrategy,5
genericArrayType,5
setVerificationStrategy,5
TypeCachingBytecodeGenerator,5
emptyMap,5
mockitoConstruction,5
removeFirstLine,5
getMethodDescriptor,5
fromClazz,5
NON_PUBLIC_PARENT,5
VerificationCollector,5
MockAwareVerificationMode,5
classType,5
getLookup,5
will,5
preloads,4
frames,4
scopedMocks,4
GET_STACK_TRACE_ELEMENT,4
prettifyFailure,4
UnnecessaryStubbingException,4
U,4
argumentMatcherStorage,4
c,4
n,4
captureArgumentsFrom,4
r,4
SuspendMethod,4
export,4
isConstructorMock,4
cleared,4
getProtectionDomain,4
needsRead,4
OnNonDefaultValue,4
checkNumberOfInvocations,4
instantiatorProvider,4
locationsOf,4
instantiate,4
messageBuilder,4
top,4
toBeReturnedNext,4
actualMode,4
setMockName,4
sourceFile,4
toLowerCase,4
equalsBuilder,4
nonMockableReason,4
addListeners,4
isOpened,4
Any,4
instanceLocalCurrentlySerializingFlag,4
typeMockabilityOf,4
pluginClass,4
skipOn,4
jvmVersion,4
propertyField,4
getMockResolvers,4
getPlugins,4
found,4
scenario,4
Calls,4
reporter,4
mockedProxyType,4
RemoveNotMatching,4
FriendlyReminderException,4
MatcherToString,4
AtMost,4
newFieldInstance,4
StubberImpl,4
preload,4
shouldBeReported,4
existingHasBetterParam,4
asTypeList,4
genericTypes,4
newArgs,4
sourceClass,4
AnswerCallback,4
replace,4
getMockitoInterceptor,4
initialValue,4
group,4
getInvocationListeners,4
InlineConstructionMockContext,4
currentSpied,4
originalType,4
Silent,4
Times,4
RETURNS_DEEP_STUBS,4
bind,4
isDefault,4
CapturesArguments,4
StubbingArgMismatches,4
effectiveName,4
ThrowsExceptionForClassType,4
NoClassDefFoundError,4
EqualsWithDelta,4
targetVisible,4
InstrumentationMemberAccessor,4
classEntry,4
asErasures,4
InjectMocks,4
Pluralizer,4
listenerSupplier,4
ConstructionDispatcher,4
realCause,4
owner,4
annotationEngine,4
hasSimilarMethod,4
reportOngoingStubbing,4
wantedButNotInvoked,4
resetStack,4
warnMessage2,4
warnMessage1,4
getStackTraceCleanerProvider,4
max,4
checkedValue,4
resolveGenericReturnType,4
bytecodeGenerationFailed,4
separator,4
nextInt,4
BaseStubbing,4
printValues,4
BeanPropertySetter,4
effectiveTestClassInstances,4
SimpleArgumentResolver,4
scan,4
appendLine,4
scenarioPrinter,4
typeInfoMatcher,4
collection,4
AtLeastDiscrepancy,4
update,4
publicLookup,4
scopedMock,4
ElementMatcher,4
readTypeVariables,4
NONE,4
supertypes,4
VerificationStartedNotifier,4
readTypeParameters,4
stackTraceLine,4
internal,4
VerifiableInvocationsFinder,4
cachingMockBytecodeGenerator,4
annotationProcessorMap,4
poll,4
declaredFields,4
findStubbings,4
injectionBase,4
A5,4
otherCandidateField,4
isStripAnnotations,4
notAnException,4
visitVarInsn,4
willDoNothing,4
ClassVisitor,4
Dispatcher,4
getLocationOfStubbing,4
EXCLUDES,4
FromCallable,4
InvocationComparator,4
abs,4
effectiveStrictness,4
getActualTypeArguments,4
VerificationEvent,4
writeMethod,4
skipped,4
end,4
typeCache,4
paramType,4
similar,4
validateMostStuff,4
isConstructor,4
removeVerifiedInOrder,4
UnfinishedMockingSessionException,4
injectionStrategies,4
DeeplyStubbedAnswer,4
describedAs,4
registerAllTypeVariables,4
typedArray,4
unnecessaryStubbings,4
MoreThanAllowedActualInvocations,4
triggerRetransformation,4
wildCardBoundedType,4
getStubbingFound,4
ReturnsDeepStubs,4
DUP,4
setAccessible,4
methodList,4
AutoCleanableListener,4
WarningsPrinterImpl,4
INLINE_ALIAS,4
Iterables,4
mockSettingsFactory,4
verificationStrategy,4
WantedButNotInvoked,4
plugin,4
LenientStubber,4
getSequenceNumber,4
Label,4
getPluralizedWantedCount,4
WARN,4
getDefaultVerificationStrategy,4
Filterable,4
findingsListener,4
boot,4
isHashCode,4
putIfAbsent,4
lastException,4
findAllMatchingUnverifiedChunks,4
FIELD,4
UnusedStubbingsFinder,4
unstubbedIterator,4
VerificationStartedEvent,4
startTime,4
capturingMatcher,4
getVerificationStartedListeners,4
FromBehavior,4
resultArgs,4
noMoreInteractions,4
ofInstance,4
WildCardBoundedType,4
isLenient,4
getEnclosingClass,4
delayMillis,4
getActualTypeArgumentFor,4
intermediate,4
MultipleParentClassLoader,4
mockMethodDispatcher,4
inferFrom,4
NoInteractionsWanted,4
NoMoreInteractions,4
MethodType,4
cl,4
setTypeToMock,4
extractActualBoundedTypeOf,4
VarArgAware,4
argTypes,4
never,4
addOrderedList,4
assertStateFor,4
AccessibleObject,4
MANUAL,4
alternatePluginType,4
Localized,4
firstSimilar,4
InOrderWrapper,4
LoggingListener,4
reportInvocation,4
CallsRealMethods,4
PluginFinder,4
ReturnValueWrapper,4
entrySet,4
UniversalTestListener,4
UnusedStubsFinder,4
