rank,word,count
9145,uh-oh,4386
9155,linkage,4382
9165,derivative,4368
9175,pinpoint,4357
9185,thinly,4350
9195,paperback,4341
9205,ordeal,4332
9215,relic,4321
9225,ornament,4309
9235,facet,4301
9245,nervously,4292
9255,graceful,4286
9265,listening,4278
9275,collective,4270
9285,enormously,4263
9295,repeat,4256
9305,scenery,4249
9315,dominican,4243
9325,grouping,4236
9335,envy,4224
9345,headlight,4218
9355,hard-working,4212
9365,rainfall,4208
9375,contour,4204
9385,cavalry,4199
9395,chalk,4187
9405,geological,4175
9415,fulfillment,4164
9425,yeast,4157
9435,mailbox,4151
9445,protector,4141
9455,slam,4135
9465,apocalypse,4131
9475,shelter,4122
9485,inflate,4114
9495,affiliate,4108
9505,mingle,4099
9515,sexism,4090
9525,shiite,4084
9535,inconsistency,4078
9545,alphabet,4069
9555,stylish,4065
9565,black-and-white,4056
9575,fm,4049
9585,nonfiction,4039
9595,harness,4032
9605,fasten,4019
9615,lightweight,4007
9625,acknowledgment,4002
9635,denomination,3992
9645,longevity,3982
9655,displacement,3968
9665,marxist,3957
9675,heightened,3953
9685,man,3946
9695,moderately,3935
9705,augment,3925
9715,outnumber,3921
9725,deacon,3916
9735,interruption,3908
9745,ion,3898
9755,cosmetic,3892
9765,confidentiality,3886
9775,procession,3877
9785,dane,3872
9795,memorandum,3865
9805,rum,3861
9815,confide,3851
9825,polish,3844
9835,salty,3834
9845,tar,3828
9855,autograph,3819
9865,intimidating,3814
9875,crib,3806
9885,plainly,3799
9895,metallic,3793
9905,fuss,3787
9915,divisive,3783
9925,cleric,3777
9935,dispatch,3771
9945,ominous,3766
9955,outpost,3754
9965,boob,3748
9975,slut,3741
9985,windy,3737
9995,salvage,3732
10005,decision-making,3729
10015,police,3721
10025,presumption,3714
10035,asphalt,3708
10045,rake,3704
10055,centerpiece,3700
10065,bilingual,3695
10075,vet,3689
10085,purchasing,3682
10095,shitty,3675
10105,long-distance,3669
10115,dawn,3661
10125,handkerchief,3655
10135,captive,3650
10145,bound,3642
10155,puddle,3639
10165,mediator,3630
10175,paramedic,3619
10185,overhead,3614
10195,chic,3607
10205,eyelid,3599
10215,bidding,3594
10225,fireman,3590
10235,excerpt,3582
10245,hymn,3575
10255,kill,3570
10265,islamist,3565
10275,vicinity,3558
10285,ceremonial,3555
10295,grate,3548
10305,striped,3540
10315,metrics,3532
10325,underwater,3526
10335,dart,3521
10345,trim,3517
10355,mentor,3511
10365,fetal,3506
10375,cherokee,3500
10385,immature,3486
10395,swarm,3481
10405,aerospace,3474
10415,iceberg,3465
10425,brownie,3461
10435,amuse,3455
10445,bullpen,3448
10455,snag,3442
10465,espouse,3436
10475,staggering,3428
10485,clueless,3415
10495,rearrange,3409
10505,favourite,3405
10515,fanatic,3401
10525,stale,3396
10535,dearly,3390
10545,homage,3386
10555,norwegian,3382
10565,orbital,3374
10575,hideous,3371
10585,daring,3366
10595,borrowing,3358
10605,pineapple,3355
10615,irritation,3349
10625,luxurious,3344
10635,upbeat,3339
10645,operative,3335
10655,magnify,3330
10665,accreditation,3326
10675,affirmation,3321
10685,hmmm,3316
10695,ceramics,3313
10705,ancestry,3308
10715,audition,3303
10725,royal,3299
10735,unnoticed,3294
