name,base,type,frequency
Denn,denn,KON,1920795.266
München,München,NE,1919296.304
deutlich,deutlich,ADJD,1915592
gilt,gelten,VVFIN,1907782.916
deutsche,deutsch,ADJA,1904284
Februar,Februar,NN,1896538
geben,geben,VVINF,1894138.525
3,3,CARD,1891848
nie,nie,ADV,1884782
Präsident,Präsident,NN,1880574.322
oft,oft,ADV,1876063
An,an,APPR,1872073.954
Haus,Haus,NN,1865602.489
the,the,FM,1865166
Mittwoch,Mittwoch,NN,1858144
Wochen,Woche,NN,1855332.897
sagen,sagen,VVINF,1854112.726
Thomas,Thomas,NE,1848176
Familie,Familie,NN,1844390
16,16,CARD,1834618
Montag,Montag,NN,1830442
aller,alle,PIAT,1826476.229
Donnerstag,Donnerstag,NN,1825291
besser,gut,ADJD,1821094.859
sehen,sehen,VVINF,1819340.831
50,50,CARD,1813318
Informationen,Information,NN,1805015.838
besonders,besonders,ADV,1791045
17,17,CARD,1787853
Zu,zu,APPR,1785129.231
Namen,Name,NN,1778321.482
The,The,FM,1774068
Kirche,Kirche,NN,1765112
Bild,Bild,NN,1760864
ISBN,ISBN,NE,1756248
Straße,Straße,NN,1755177
Ort,Ort,NN,1754382.465
viel,viel,ADV,1754247.93
deshalb,deshalb,PROAV,1748085
Anfang,Anfang,NN,1748069
Dies,diese,PDS,1747534.146
anderem,andere,PIS,1746237.66
sollten,sollen,VMFIN,1734347
100,100,CARD,1732872
Ziel,Ziel,NN,1731474
natürlich,natürlich,ADV,1729603.339
neben,neben,APPR,1715647
zeigt,zeigen,VVFIN,1711587.812
mit,mit,PTKVZ,1703771.519
19,19,CARD,1697155
zu,zu,PTKVZ,1694812.472
Dienstag,Dienstag,NN,1690947
CET,cet,NE,1689942.457
tun,tun,VVINF,1688769.322
derzeit,derzeit,ADV,1687338
Nur,nur,ADV,1682365
eher,eher,ADV,1681408
Art,Art,NN,1680630.485
dem,die,PRELS,1679589.22
musste,müssen,VMFIN,1679548
gehört,gehören,VVFIN,1678708.478
zunächst,zunächst,ADV,1673618.935
gute,gut,ADJA,1659505
http,UNKNOWN,NE,1657045.66
alten,alt,ADJA,1653715
Aber,aber,ADV,1653128.247
Zukunft,Zukunft,NN,1648439.796
Minuten,Minute,NN,1647938.267
2000,2000,CARD,1640829
Grund,Grund,NN,1638840
eigentlich,eigentlich,ADV,1635298
Dann,dann,ADV,1635024
Aus,aus,APPR,1633062.422
Trainer,Trainer,NN,1631483
Bad,Bad,NE,1626670.359
klar,klar,ADJD,1623014.132
Saison,Saison,NN,1619823
Mannschaft,Mannschaft,NN,1617112.057
konnten,können,VMFIN,1616935
möchte,mögen,VMFIN,1611347
Milliarden,Milliarde,NN,1609721
Damit,damit,PROAV,1605768.198
kommen,kommen,VVFIN,1603997.915
Musik,Musik,NN,1601894
wirklich,wirklich,ADJD,1599172
einer,eine,PIS,1597268.532
darf,dürfen,VMFIN,1589401
lange,lange,ADV,1585835.696
Wie,wie,KOKOM,1583086.384
4,4,ADJA,1583086
lässt,lassen,VVFIN,1582427
sicher,sicher,ADJD,1580254.068
Literatur,Literatur,NN,1572558
Meter,Meter,NN,1562962
neu,neu,ADJD,1560303
kleinen,klein,ADJA,1559836
hinter,hinter,APPR,1557180.86
weit,weit,ADJD,1557111.17
Tage,Tag,NN,1554376.706
pro,pro,APPR,1547156
Region,Region,NN,1547068
seines,sein,PPOSAT,1543598.877
de/,unknown,NE,1538822.497
damals,damals,ADV,1537882
20,20,ADJA,1535188.553
denen,die,PRELS,1533287.771
genau,genau,ADJD,1530933
2012,@card@,CARD,1529376
New,New,NE,1528913.552
gleich,gleich,ADJD,1523409.719
darüber,darüber,PROAV,1523110
welche,welche,PRELS,1522402.054
2004,@card@,CARD,1521506
Hier,hier,ADV,1513536
Jahres,Jahr,NN,1513473
meine,mein,PPOSAT,1512981.374
FC,FC,NE,1512560.294
Angaben,Angabe,NN,1507087.44
während,während,APPR,1504982.158
4,4,CARD,1503893
doch,doch,KON,1502942.014
Eltern,Eltern,NN,1496124.44
Gruppe,Gruppe,NN,1495857
vielleicht,vielleicht,ADV,1493951
13,13,CARD,1491758
lang,lang,ADJD,1483858.647
Programm,Programm,NN,1482680
Film,Film,NN,1481822.055
Leute,Leute,NN,1481041.901
5,5,ADJA,1478780
Erfolg,Erfolg,NN,1477535
com,com,NE,1476179.892
weiß,wissen,VVFIN,1475186.938
kurz,kurz,ADJD,1475106.456
Schule,Schule,NN,1471614.444
40,40,CARD,1471273
Nicht,nicht,PTKNEG,1470138
Team,Team,NN,1469120
insgesamt,insgesamt,ADV,1467464
Politik,Politik,NN,1464590
Entwicklung,Entwicklung,NN,1462215
19,19,ADJA,1459839
12,12,CARD,1459584
=,=,$(,1453674
kommen,kommen,VVINF,1453068.993
Dass,daß,KOUS,1450619
könne,können,VMFIN,1449750
Bereich,Bereich,NN,1439060
Wien,Wien,NE,1436404
Beifall,Beifall,NN,1434842
könnten,können,VMFIN,1432032
Bürgermeister,Bürgermeister,NN,1429321.271
Titel,Titel,NN,1428717
weiteren,weit,ADJA,1428203
Europa,Europa,NE,1427231
Wolfgang,Wolfgang,NE,1421652.14
schnell,schnell,ADJD,1420975.585
geworden,werden,VAPP,1420155.826
Mitglieder,Mitglied,NN,1407974
unsere,unser,PPOSAT,1405777.186
stellt,stellen,VVFIN,1395073.583
5,5,CARD,1394231
Deutschen,deutsch,ADJA,1393720.801
stand,stehen,VVFIN,1392090.72
6,6,ADJA,1391716
Partei,Partei,NN,1388555
Band,Band,NN,1388542.783
eben,eben,ADV,1388388.611
Mitarbeiter,Mitarbeiter,NN,1386310
Schweiz,Schweiz,NE,1386107
Schüler,Schüler,NN,1382717.059
Schweizer,Schweizer,NN,1380823
erklärte,erklären,VVFIN,1379260.132
muß,müssen,VMFIN,1378400
zu,zu,PTKA,1377828.326
richtig,richtig,ADJD,1377778.24
stark,stark,ADJD,1374389
dagegen,dagegen,PROAV,1373789.663
Unter,unter,APPR,1369674
Männer,Mann,NN,1363423
jeder,jede,PIAT,1358496.373
Martin,Martin,NE,1357822
deutscher,deutsch,ADJA,1356443.065
Verein,Verein,NN,1352294
Gäste,Gast,NN,1351618.007
11,11,CARD,1350664
Beginn,Beginn,NN,1350519
führt,führen,VVFIN,1348504.06
eine,eine,PIS,1348295.188
Beim,beim,APPRART,1347893
acht,acht,CARD,1346555.47
|,unknown,NE,1343021.142
25,25,CARD,1342065
kleine,klein,ADJA,1341428
/www,unknown,NE,1339718.747
and,and,FM,1339083
Österreich,Österreich,NE,1338816
gegeben,geben,VVPP,1336995
unserer,unser,PPOSAT,1336896.52
Stunden,Stunde,NN,1336608.756
Zahl,Zahl,NN,1332299
daran,daran,PROAV,1330841
jeweils,jeweils,ADV,1326848
sieben,sieben,CARD,1325596.229
Personen,Person,NN,1320277.227
FDP,FDP,NE,1317493.515
7,7,ADJA,1315959
bleiben,bleiben,VVINF,1311286.64
jeden,jede,PIAT,1311080.733
Sieg,Sieg,NN,1309194
allein,allein,ADV,1308583.011
überhaupt,überhaupt,ADV,1308400
Berliner,Berliner,ADJA,1306014.428
Einsatz,Einsatz,NN,1303835
Diskussion,Diskussion,NN,1301396
Außerdem,außerdem,ADV,1301068.6
Dort,dort,ADV,1300724
15,15,ADJA,1298119
10,10,ADJA,1296034
gehen,gehen,VVINF,1295032.503
knapp,knapp,ADJD,1291978.658
alte,alt,ADJA,1289407
18,18,ADJA,1288483.935
nämlich,nämlich,ADV,1288103
gemeinsam,gemeinsam,ADJD,1286409
Rolle,Rolle,NN,1284918.623
mehrere,mehrere,PIAT,1284062.881
Hans,Hans,NE,1283352
gegenüber,gegenüber,APPR,1281517.282
hält,halten,VVFIN,1279794
8,@ord@,ADJA,1279624
11,11,ADJA,1279256
Jahrhundert,Jahrhundert,NN,1275033.357
daher,daher,PROAV,1272125.967
